Timestamp,Supplier,Model,Price_KD,Source_Chat,Raw_Snippet,Notes
Today 2:19 AM,Mobile Telecom Industry,Samsung A36 8/128,,PRISM DISTRIBUTION FZCO WTS DAFZA LOCAL SAMSUNG & APPLE,Want to sell Samsung A36 8/128 - Simfree qty available 216$ HOTT PRICE Blue Green,USD 216; simfree; ready in Dafza; qty available
Yesterday,Bombay Digital DXB,X230 128 Silver,,WTS MGT,Wts X230 128 silver Tra 680 dh,AED 680 (dh); ready/offer snippet; price not KD
Today,Bombay Digital DXB,S25 Edge 256GB,,WTS MGT,WTS S25edge 256 gb eng stock 2 pcs only good price 1850 dh,AED 1850 (dh); eng stock; 2 pcs only
Today,Eshan Cellutech,Redmi A7 Pro 4G 4/64GB,,Eshan Cellutech,DEAL FOR SHORT TIME Redmi A7 pro 4G 4/64GB Ready Stock | Unbeatable Price,Short-time deal language; numeric price not shown; Unbeatable Price (no number)
Today,Eshan Cellutech,Redmi A7 Pro 4/128GB,,Eshan Cellutech,Redmi A7 PRO 4/128GB Black EU/Global; Ready Stock | Unbeatable Price,Short-time deal language; numeric price not shown; Unbeatable Price (no number)
Today,Shabbir Simtronics DXB,Galaxy S25FE/S25/S26 FE/S26 Ultra variants,,Shabbir Simtronics DXB,"WANT TO SELL GALAXY S SERIES: S25FE 8GB+256GB, S25 12GB+256GB, S26 FE 8GB+256GB, S26 Ultra 12GB+256/512GB",List only; no prices; Price not shown
Today,Onkar Singh Rajput HK,Xiaomi Note 17 Pro 8/256GB 5G,,Onkar Singh Rajput HK,Wts Xiaomi Note 17 pro 8/256gb 5G On booking,On booking; no price; Price not shown; on booking
Yesterday 10:36 AM,Bombay Digital DXB,Samsung Galaxy S25 Edge 256GB,,WTS MGT,WTS S25edge 256 gb eng stock / 2 pcs only / good price / 1850 dh,English stock.; AED 1850
Yesterday 11:04 AM,Bombay Digital DXB,Vivo X230 128GB Silver TRA,,WTS MGT,Wts UAE X230 128 silver Tra / 680 dh,TRA/UAE stock wording as shown.; AED 680
Friday 7:26 AM,Eshan Cellutech,Redmi A7 Pro 4G 4/64GB,,Eshan Cellutech,"DEAL FOR SHORT TIME / Redmi A7 pro 4G 4/64GB / Black, Blue, Green / Ready Stock / Unbeatable Price","EU/Global variants; Black, Blue and Green listed; no price shown."
Friday 7:26 AM,Eshan Cellutech,Redmi A7 Pro 4G 4/128GB,,Eshan Cellutech,Redmi A7 PRO 4/128GB / Black | Eu | Global | Ready Stock / Unbeatable Price,EU/Global Black variant; no price shown.
Friday 6:18 AM,Shabbir Simtronics DXB,Samsung Galaxy S25 FE (S731) 8GB+256GB,,Shabbir Simtronics DXB,WANT TO SELL GALAXY S SERIES / S25FE (S731) 8GB + 256GB | ARB,ARB specification; no price shown.
Friday 6:18 AM,Shabbir Simtronics DXB,Samsung Galaxy S25 (S931) 12GB+256GB,,Shabbir Simtronics DXB,S25 (S931) 12GB + 256GB | IND,India specification; no price shown.
Friday 6:18 AM,Shabbir Simtronics DXB,Samsung Galaxy S26 FE (S741) 8GB+256GB,,Shabbir Simtronics DXB,S26 FE (S741) 8GB + 256GB AFR,AFR specification; no price shown.
Friday 6:18 AM,Shabbir Simtronics DXB,Samsung Galaxy S26 Ultra (S948) 12GB+256GB,,Shabbir Simtronics DXB,S26 ULTRA (S948) 12 + 256GB AFR,AFR specification; no price shown.
Friday 6:18 AM,Shabbir Simtronics DXB,Samsung Galaxy S26 Ultra (S948) 12GB+512GB,,Shabbir Simtronics DXB,S26 ULTRA (S948) 12 + 512GB AFR,AFR specification; no price shown.
Thursday 11:04 PM,Onkar Singh Rajput HK,Xiaomi Note 17 Pro 5G 8/256GB,,Onkar Singh Rajput HK,Wts Xiaomi / Note 17 pro 8/256gb 5G / On booking,Booking offer; no price shown.
Today 2:19 AM,~ Mobile Telecom Industry,Samsung Galaxy A36 8/128GB,,PRISM DISTRIBUTION FZCO WTS DAFZA LOCAL SAMSUNG & APPLE,Want to sell / Samsung A36 8/128 / Simfree qty available / 216$ HOTT PRICE,India/sim-free stock; Blue and Green; ready in DAFZA.; USD 216
Yesterday 2:29 AM,Teleflex Telecom Fzco,ZTE Blade A6 4/128GB,,Teleflex Telecom Fzco,WTS / ZTE BLADE A6 4/128,No price shown.
Yesterday 2:29 AM,Teleflex Telecom Fzco,ZTE Blade A76 4G 4/128GB,,Teleflex Telecom Fzco,ZTE BLADE A76 4G 4/128,No price shown.
Yesterday 2:29 AM,Teleflex Telecom Fzco,ZTE Blade A76 5G 6/128GB,,Teleflex Telecom Fzco,ZTE BLADE A76 5G 6/128,No price shown.
Today 10:31 PM,Roy HK,Redmi 15C 4G 4+128GB EU,,Roy HK,Redmi 15C 4G 4+128 EU $115 / Black 500 / Green 300 / Purple 490,"EU stock; quantities Black 500, Green 300, Purple 490.; USD 115"
Yesterday 4:41 AM,Khaled Zayed,Samsung Galaxy A16 4/128GB,,ROYAL LINE ELECTRONICS FZCO,WTS | SAMSUNG / A16 | 4/128GB / Arabic Spec / Ready Stock FZCO,"Arabic spec; later message says SOLD A16 THANKS, so availability is likely closed."
Thursday 8:00 AM,CHIRAG DXB,NOTE 14S 8/256,,CHIRAG DXB,NOTE 14S 8/256 - 185 $,USD 185
Thursday 8:00 AM,CHIRAG DXB,REDMI 15C 8/256,,CHIRAG DXB,REDMI 15C 8/256 - 139 $,USD 139
Thursday 8:00 AM,CHIRAG DXB,NOTE 15 8/256,,CHIRAG DXB,NOTE 15 8/256 - 194 $,USD 194
Thursday 8:00 AM,CHIRAG DXB,NOTE 15 PRO 8/256,,CHIRAG DXB,NOTE 15 PRO 8/256 - 262 $,USD 262
Thursday 2:29 AM,Arjun Bhusal,Samsung A075 4/64,,Arjun Bhusal,Selling / Ready stock / Samsung a075 4/64 Gb - 3000 PCs,3000 PCs; ready stock
